maphuongxa,tenphuongxa,maquanhuyen,tenquanhuyen
27247,Phường 1,772,Quận 11
27250,Phường 2,772,Quận 11
27220,Phường 3,772,Quận 11
27244,Phường 4,772,Quận 11
27211,Phường 5,772,Quận 11
27241,Phường 6,772,Quận 11
27238,Phường 7,772,Quận 11
27229,Phường 8,772,Quận 11
27232,Phường 9,772,Quận 11
27223,Phường 10,772,Quận 11
27217,Phường 11,772,Quận 11
27235,Phường 12,772,Quận 11
27226,Phường 13,772,Quận 11
27214,Phường 14,772,Quận 11
27208,Phường 15,772,Quận 11
27253,Phường 16,772,Quận 11
27325,Phường 1,774,Quận 5
27313,Phường 2,774,Quận 5
27307,Phường 3,774,Quận 5
27301,Phường 4,774,Quận 5
27334,Phường 5,774,Quận 5
27337,Phường 6,774,Quận 5
27322,Phường 7,774,Quận 5
27316,Phường 8,774,Quận 5
27304,Phường 9,774,Quận 5
27340,Phường 10,774,Quận 5
27328,Phường 11,774,Quận 5
27310,Phường 12,774,Quận 5
27343,Phường 13,774,Quận 5
27331,Phường 14,774,Quận 5
27319,Phường 15,774,Quận 5
27394,Phường 1,776,Quận 8
27391,Phường 2,776,Quận 8
27397,Phường 3,776,Quận 8
27409,Phường 4,776,Quận 8
27418,Phường 5,776,Quận 8
27424,Phường 6,776,Quận 8
27433,Phường 7,776,Quận 8
27388,Phường 8,776,Quận 8
27403,Phường 9,776,Quận 8
27406,Phường 10,776,Quận 8
27400,Phường 11,776,Quận 8
27415,Phường 12,776,Quận 8
27412,Phường 13,776,Quận 8
27421,Phường 14,776,Quận 8
27427,Phường 15,776,Quận 8
27430,Phường 16,776,Quận 8
27184,Phường 1,771,Quận 10
27190,Phường 2,771,Quận 10
27205,Phường 3,771,Quận 10
27193,Phường 4,771,Quận 10
27199,Phường 5,771,Quận 10
27202,Phường 6,771,Quận 10
27196,Phường 7,771,Quận 10
27187,Phường 8,771,Quận 10
27181,Phường 9,771,Quận 10
27178,Phường 10,771,Quận 10
27175,Phường 11,771,Quận 10
27172,Phường 12,771,Quận 10
27166,Phường 13,771,Quận 10
27169,Phường 14,771,Quận 10
27163,Phường 15,771,Quận 10
27478,Phường Bình Thuận,778,Quận 7
27493,Phường Phú Mỹ,778,Quận 7
27484,Phường Phú Thuận,778,Quận 7
27475,Phường Tân Hưng,778,Quận 7
27472,Phường Tân Kiểng,778,Quận 7
27490,Phường Tân Phong,778,Quận 7
27487,Phường Tân Phú,778,Quận 7
27481,Phường Tân Quy,778,Quận 7
27466,Phường Tân Thuận Đông,778,Quận 7
27469,Phường Tân Thuận Tây,778,Quận 7
27370,Phường 1,775,Quận 6
27367,Phường 2,775,Quận 6
27379,Phường 3,775,Quận 6
27373,Phường 4,775,Quận 6
27361,Phường 5,775,Quận 6
27355,Phường 6,775,Quận 6
27382,Phường 7,775,Quận 6
27376,Phường 8,775,Quận 6
27352,Phường 9,775,Quận 6
27385,Phường 10,775,Quận 6
27364,Phường 11,775,Quận 6
27358,Phường 12,775,Quận 6
27349,Phường 13,775,Quận 6
27346,Phường 14,775,Quận 6
27298,Phường 1,773,Quận 4
27292,Phường 2,773,Quận 4
27286,Phường 3,773,Quận 4
27283,Phường 4,773,Quận 4
27274,Phường 5,773,Quận 4
27265,Phường 6,773,Quận 4
27268,Phường 8,773,Quận 4
27262,Phường 9,773,Quận 4
27271,Phường 10,773,Quận 4
27256,Phường 12,773,Quận 4
27259,Phường 13,773,Quận 4
27280,Phường 14,773,Quận 4
27295,Phường 15,773,Quận 4
27289,Phường 16,773,Quận 4
27277,Phường 18,773,Quận 4
26839,Phường Hiệp Phú,763,Quận 9
26830,Phường Long Bình,763,Quận 9
26857,Phường Long Phước,763,Quận 9
26833,Phường Long Thạnh Mỹ,763,Quận 9
26860,Phường Long Trường,763,Quận 9
26866,Phường Phú Hữu,763,Quận 9
26863,Phường Phước Bình,763,Quận 9
26851,Phường Phước Long A,763,Quận 9
26848,Phường Phước Long B,763,Quận 9
26842,Phường Tăng Nhơn Phú A,763,Quận 9
26845,Phường Tăng Nhơn Phú B,763,Quận 9
26836,Phường Tân Phú,763,Quận 9
26854,Phường Trường Thạnh,763,Quận 9
27160,Phường 1,770,Quận 3
27157,Phường 2,770,Quận 3
27154,Phường 3,770,Quận 3
27148,Phường 4,770,Quận 3
27151,Phường 5,770,Quận 3
27139,Phường 6,770,Quận 3
27124,Phường 7,770,Quận 3
27121,Phường 8,770,Quận 3
27142,Phường 9,770,Quận 3
27145,Phường 10,770,Quận 3
27133,Phường 11,770,Quận 3
27130,Phường 12,770,Quận 3
27136,Phường 13,770,Quận 3
27127,Phường 14,770,Quận 3
27643,Thị trấn Nhà Bè,786,Huyện Nhà Bè
27661,Xã Hiệp Phước,786,Huyện Nhà Bè
27658,Xã Long Thới,786,Huyện Nhà Bè
27652,Xã Nhơn Đức,786,Huyện Nhà Bè
27646,Xã Phước Kiển,786,Huyện Nhà Bè
27649,Xã Phước Lộc,786,Huyện Nhà Bè
27655,Xã Phú Xuân,786,Huyện Nhà Bè
27106,Phường An Khánh,769,Quận 2
27115,Phường An Lợi Đông,769,Quận 2
27091,Phường An Phú,769,Quận 2
27094,Phường Bình An,769,Quận 2
27103,Phường Bình Khánh,769,Quận 2
27097,Phường Bình Trưng Đông,769,Quận 2
27100,Phường Bình Trưng Tây,769,Quận 2
27109,Phường Cát Lái,769,Quận 2
27112,Phường Thạnh Mỹ Lợi,769,Quận 2
27088,Phường Thảo Điền,769,Quận 2
27118,Phường Thủ Thiêm,769,Quận 2
27559,Thị trấn Hóc Môn,784,Huyện Hóc Môn
27592,Xã Bà Điểm,784,Huyện Hóc Môn
27568,Xã Đông Thạnh,784,Huyện Hóc Môn
27565,Xã Nhị Bình,784,Huyện Hóc Môn
27562,Xã Tân Hiệp,784,Huyện Hóc Môn
27571,Xã Tân Thới Nhì,784,Huyện Hóc Môn
27580,Xã Tân Xuân,784,Huyện Hóc Môn
27574,Xã Thới Tam Thôn,784,Huyện Hóc Môn
27586,Xã Trung Chánh,784,Huyện Hóc Môn
27583,Xã Xuân Thới Đông,784,Huyện Hóc Môn
27577,Xã Xuân Thới Sơn,784,Huyện Hóc Môn
27589,Xã Xuân Thới Thượng,784,Huyện Hóc Môn
26740,Phường Bến Nghé,760,Quận 1
26743,Phường Bến Thành,760,Quận 1
26761,Phường Cầu Kho,760,Quận 1
26752,Phường Cầu Ông Lãnh,760,Quận 1
26755,Phường Cô Giang,760,Quận 1
26737,Phường Đa Kao,760,Quận 1
26758,Phường Nguyễn Cư Trinh,760,Quận 1
26746,Phường Nguyễn Thái Bình,760,Quận 1
26749,Phường Phạm Ngũ Lão,760,Quận 1
26734,Phường Tân Định,760,Quận 1
27496,Thị trấn Củ Chi,783,Huyện Củ Chi
27508,Xã An Nhơn Tây,783,Huyện Củ Chi
27502,Xã An Phú,783,Huyện Củ Chi
27550,Xã Bình Mỹ,783,Huyện Củ Chi
27544,Xã Hòa Phú,783,Huyện Củ Chi
27511,Xã Nhuận Đức,783,Huyện Củ Chi
27514,Xã Phạm Văn Cội,783,Huyện Củ Chi
27517,Xã Phú Hòa Đông,783,Huyện Củ Chi
27499,Xã Phú Mỹ Hưng,783,Huyện Củ Chi
27529,Xã Phước Hiệp,783,Huyện Củ Chi
27526,Xã Phước Thạnh,783,Huyện Củ Chi
27535,Xã Phước Vĩnh An,783,Huyện Củ Chi
27532,Xã Tân An Hội,783,Huyện Củ Chi
27553,Xã Tân Phú Trung,783,Huyện Củ Chi
27547,Xã Tân Thạnh Đông,783,Huyện Củ Chi
27541,Xã Tân Thạnh Tây,783,Huyện Củ Chi
27556,Xã Tân Thông Hội,783,Huyện Củ Chi
27538,Xã Thái Mỹ,783,Huyện Củ Chi
27523,Xã Trung An,783,Huyện Củ Chi
27520,Xã Trung Lập Hạ,783,Huyện Củ Chi
27505,Xã Trung Lập Thượng,783,Huyện Củ Chi
